parentid,object_location,objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,display_template,image_small,image_thumb
,https://www.ncpedia.org/anchor/juneteenth,juneteenth001,Juneteenth,2024,yes,Kemisa Kassa,,Article about the history of Juneteenth,single-page; article,"African American children; African American men; African American women; African Americans; Constitutional amendments--United States; Enslaved persons--Emancipation--United States; Slavery--Law and legislation--United States; Slavery--Law and legislation--United States--History; Slavery--United States--History--19th century; United States--History--Civil War, 1861-1865; United States--Politics and government--1861-1865",United States,,,,NCpedia,State Library of NC. ANCHOR,,,/node/26122,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,text/html,eng,,pdf,/objects/small/001_juneteenth_flag_sm.jpg,/objects/thumbs/001_juneteenth_flag_th.jpg
,https://aahc.nc.gov/2025-juneteenth-event-calendar,juneteenth002,Juneteenth Calendar,2025,no,NC African American Heritage Commission,,Calendar of 2025 Juneteenth events,multiple-page; calendar,"African American children; African American men; African American women; African Americans; Enslaved persons--Emancipation--United States; United States--History--Civil War, 1861-1865; United States--Politics and government--1861-1865","North Carolina, United States",,,,NC African American Heritage Commission,NC African American Heritage Commission,,,,"Unless otherwise noted on an individual document, the state of North Carolina grants permission to copy and distribute non-image files, documents, and information for non-commercial use, provided they are copied and distributed without alteration. Photos and other images appearing on our websites have been purchased with a license for limited use. Use of any photos or images appearing on any state website is strictly prohibited.",https://www.nc.gov/disclaimer-terms-use,text,text/html,eng,,pdf,/objects/small/002_juneteenth_calendar_sm.jpg,/objects/thumbs/002_juneteenth_calendar_th.jpg
,https://digital.ncdcr.gov/Documents/Detail/session-laws-and-resolutions-passed-by-the-general-assembly-2007/3709277?item=3718879,juneteenth003,Session laws and resolutions passed by the General Assembly [2007],2007,no,North Carolina,,2007 General Assembly at its regular session 2007 and its extra session 2007,multiple-page; laws,Session laws--North Carolina,"North Carolina, United States",,,,North Carolina Digital State Publications Collection,State Library of NC. Observer Print. House,,,pubs_serial_sessionlawsresolutions2007,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,application/pdf,eng,,pdf,/objects/small/003_2007sessionlaws_sm.jpg,/objects/thumbs/003_2007sessionlaws_th.jpg
,https://governor.nc.gov/documents/files/governor-proclaims-juneteenth-day-2021/open,juneteenth004,"Cooper, Roy Proclamation, 2021, Juneteenth Day",2021,no,"Cooper, Roy. Office of the Governor",,2021 Proclamation of Juneteenth Day by Governor Roy Cooper,single-page; proclamation,"Governors--North Carolina; Cooper, Roy 1957-; Proclamations--North Carolina","North Carolina, United States",,,,Office of the Governor. North Carolina,State of North Carolina Government,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",,text,application/pdf,eng,,pdf,/objects/small/004_cooperjuneteenth_sm.jpg,/objects/thumbs/004_cooperjuneteenth_th.jpg
,https://digital.ncdcr.gov/Documents/Detail/perdue-bev.-proclamation-2010-06-09-juneteenth-day/4589752,juneteenth005,"Perdue, Bev. Proclamation, 2010-06-09, Juneteenth Day",2010-06-09,no,"Perdue, Bev. Office of the Governor",,"Records contain official proclamations issued by the Governor on behalf of various organizations and individuals, or in relation to public events.",single-page; proclamation,"Governors--North Carolina; Perdue, Bev, 1947-; Proclamations--North Carolina","North Carolina, United States",,,,North Carolina Digital State Publications Collection,State Archives of NC,,,1170123__Juneteenth_Day0001,This item is provided courtesy of the State Archives of North Carolina and is a public record according to G.S.132.,https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,application/pdf,eng,,pdf,/objects/small/005_perduejuneteenth_sm.jpg,/objects/thumbs/005_perduejuneteenth_th.jpg
,https://digital.ncdcr.gov/Documents/Detail/mccrory-pat.-proclamation-juneteenth-national-freedom-day-june-19-2013/4752000,juneteenth006,"McCrory, Pat. Proclamation, Juneteenth National Freedom Day, June 19, 2013",2013-06-19,no,"McCrory, Pat. Office of the Governor",,"Records contain official proclamations issued by the Governor on behalf of various organizations and individuals, or in relation to public events.",single-page; proclamation,"Governors--North Carolina; McCrory, Pat, 1956-; Proclamations--North Carolina","North Carolina, United States",,,,North Carolina Digital State Publications Collection,State Archives of NC,,,GP_McCrory_Pro_20130619_001,This item is provided courtesy of the State Archives of North Carolina and is a public record according to G.S.132.,https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,application/pdf,eng,,pdf,/objects/small/006_mccroryjuneteenth_sm.jpg,/objects/thumbs/006_mccroryjuneteenth_th.jpg
,https://digital.ncdcr.gov/Documents/Detail/thirteenth-amendment-to-the-united-states-constitution/5825451,juneteenth007,Thirteenth Amendment to the United States Constitution,1865-02-01,no,United States. Congress.,,"North Carolina’s copy of the 13th Amendment, this document formally ended legal slavery in the United States. This document is stored in a climate-controlled vault, the original location of the document was: Governor’s Papers, Provisional Governor William Woods Holden, Box 185 (February-June 1865), Folder 1 (2 February 1865 to 31 May 1865)",multiple-page; amendment,"African American children; African American  men; African American women; African Americans; Constitutional amendments--United States; Enslaved persons--Emancipation--United States; Slavery--Law and legislation--United States; Slavery--Law and legislation--United States--History; Slavery--United States--History--19th century; United States--History--Civil War, 1861-1865; United States--Politics and government--1861-1865",United States,,,,North Carolina Digital State Publications Collection,Vault Collection. State Archives of North Carolina,,VC.42,VC_42_13th_Amendment_US_Constitution,All rights held by the State Archives of NC. Permission to publish must be obtained from the registrar in writing.,https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text; image,image/jpeg,eng,,image,/objects/small/007_13thamendment_sm.jpg,/objects/thumbs/007_13thamendment_th.jpg
,https://aahc.nc.gov/2025-nc-aahc-juneteenth-toolkit/open,juneteenth008,Juneteenth North Carolina Celebrate Freedom Toolkit,2025,no,NC African American Heritage Commission,,A resource guide to assist in celebrating the Juneteenth holiday.,multiple-page; guide,"African American children; African American  men; African American women; African Americans; Constitutional amendments--United States; Enslaved persons--Emancipation--United States; Slavery--Law and legislation--United States; Slavery--Law and legislation--United States--History; Slavery--United States--History--19th century; United States--History--Civil War, 1861-1865; United States--Politics and government--1861-1865","North Carolina, United States",,,,North Carolina Digital State Publications Collection,The North Carolina African American Heritage Commission,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,application/pdf,eng,,pdf,/objects/small/008_juneteenthtoolkit_sm.jpg,/objects/thumbs/008_juneteenthtoolkit_th.jpg
,https://digital.ncdcr.gov/Documents/Detail/ned-hyman-williamston-martin-county-nc-petition-for-act-of-manumission-emancipation-slavery-free-black-people./746382,juneteenth009,"Ned Hyman, Williamston, Martin County, NC; Petition for Act of manumission (Emancipation, Slavery, Free Black people).",1833-1834,no,"Hyman, Ned",,A primary source document of enslaved man Ned Hyman petitioning for his freedom,multiple-page; narrative,"African American men--Social conditions; African Americans; Enslaved person--Emancipation--United States; Freed persons; Marriage law--United States; North Carolina--History--1775-1865; Slavery--United States--History--19th century; Women--Legal status, laws, etc.; Women--United States--Social conditions","Williamston, North Carolina",,,https://ncpedia.org/anchor/primary-source-ned-hymans,North Carolina Digital State Publications Collection,Session Records. General Assembly Records. State Archives of North Carolina,,,Hyman_Ned_Nov_1833_Jan_1834,This item is provided courtesy of the State Archives of North Carolina and is a public record according to G.S.132.,https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,Text,application/pdf,eng,,pdf,/objects/small/009_hyman_ned_sm.jpg,/objects/thumbs/009_hyman_ned_th.jpg
,,juneteenth010,Stagville State Historic Site,1787,yes,,,Resources related to Stagville State Historic Site,,Historic sites--North Carolina; Plantations--North Carolina,"Durham, North Carolina",,,,,,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,,,,,compound_object,/objects/small/076_stagville_sm.jpg,/objects/thumbs/076_stagville_th.jpg
